File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\obj\Release\Modification_Edit_Dialog.g.i.cs,171,119,57,2,37,0,15,20,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\obj\Release\Modification_Element_Edit_Dialog.g.cs,125,85,44,2,25,0,15,20,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\obj\Release\Modification_Element_Edit_Dialog.g.i.cs,125,85,44,2,25,0,15,20,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\obj\Release\Quantification_Add_Dialog.g.cs,125,85,44,2,25,0,15,20,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\obj\Release\Quantification_Add_Dialog.g.i.cs,125,85,44,2,25,0,15,20,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\obj\Release\Quantification_Edit_Dialog.g.cs,125,85,44,2,25,0,15,20,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\obj\Release\Quantification_Edit_Dialog.g.i.cs,125,85,44,2,25,0,15,20,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\Properties\AssemblyInfo.cs,56,20,5,0,9,2,27,52,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\Properties\Resources.Designer.cs,72,41,16,3,9,1,22,50,0,1
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\Properties\Settings.Designer.cs,31,17,6,1,6,1,8,30,0,1
