7.080	非数字
7.080	非数字
3.535	非数字
3.535	非数字
-0.350	非数字
-0.350	非数字
-3.777	1000000.000
-3.777	1000000.000
2.145	24.388
2.145	24.388
1.575	非数字
1.575	非数字
-1.843	非数字
-1.843	非数字
0.731	非数字
0.731	非数字
-13.302	非数字
-13.302	非数字
-0.930	-70.745
-0.930	-70.745
-0.405	-25.803
-0.405	-25.803
1.735	-27.976
1.735	-27.976
2.262	-12.839
2.262	-12.839
1.518	1000000.000
1.518	1000000.000
-2.749	36.522
-2.749	36.522
1.578	非数字
1.578	非数字
1.159	24.198
1.159	24.198
0.587	非数字
0.587	非数字
-0.482	1000000.000
-0.482	1000000.000
6.515	非数字
6.515	非数字
2.361	-12.160
2.361	-12.160
非数字	1.425
非数字	1.425
-2.932	非数字
-2.932	非数字
-9.323	非数字
-9.323	非数字
10.712	1000000.000
10.712	1000000.000
0.306	25.412
0.306	25.412
-3.094	1000000.000
-3.094	1000000.000
-0.474	-47.932
-0.474	-47.932
1.355	-98.859
1.355	-98.859
2.860	-19.639
2.860	-19.639
3.556	非数字
3.556	非数字
8.114	1000000.000
8.114	1000000.000
-17.530	-16.749
-17.530	-16.749
7.903	33.668
7.903	33.668
-3.137	42.840
-3.137	42.840
1.551	非数字
1.551	非数字
8.094	43.579
8.094	43.579
2.450	非数字
2.450	非数字
0.827	26.758
0.827	26.758
6.953	非数字
6.953	非数字
4.649	非数字
4.649	非数字
3.303	22.120
3.303	22.120
1.967	52.798
1.967	52.798
0.887	16.906
0.887	16.906
4.713	1000000.000
4.713	1000000.000
-1.326	16.485
-1.326	16.485
10.771	1000000.000
10.771	1000000.000
6.419	27.807
6.419	27.807
-12.904	-19.285
-12.904	-19.285
11.249	非数字
11.249	非数字
4.326	33.388
4.326	33.388
3.070	非数字
3.070	非数字
7.627	23.680
7.627	23.680
非数字	3.707
非数字	3.707
3.230	26.401
3.230	26.401
-1.101	50.690
-1.101	50.690
-2.367	53.696
-2.367	53.696
3.408	1000000.000
3.408	1000000.000
-14.698	非数字
-14.698	非数字
30.510	-13.235
30.510	-13.235
0.068	32.155
0.068	32.155
-0.298	1000000.000
-0.298	1000000.000
15.929	1000000.000
15.929	1000000.000
2.130	非数字
2.130	非数字
0.082	67.310
0.082	67.310
1.018	54.740
1.018	54.740
1.324	24.739
1.324	24.739
0.644	-23.931
0.644	-23.931
0.985	-21.406
0.985	-21.406
0.148	非数字
0.148	非数字
-13.723	非数字
-13.723	非数字
-13.197	-20.480
-13.197	-20.480
-1.290	非数字
-1.290	非数字
2.275	非数字
2.275	非数字
4.290	15.427
4.290	15.427
-0.168	1000000.000
-0.168	1000000.000
11.233	-42.150
11.233	-42.150
2.758	非数字
2.758	非数字
非数字	1.736
非数字	1.736
1.364	非数字
1.364	非数字
-13.351	非数字
-13.351	非数字
63.579	35.146
63.579	35.146
非数字	非数字
非数字	非数字
1.347	非数字
1.347	非数字
1.013	非数字
1.013	非数字
3.894	-38.250
3.894	-38.250
3.552	非数字
3.552	非数字
5.166	12.981
5.166	12.981
-0.903	22.062
-0.903	22.062
0.477	1000000.000
0.477	1000000.000
1.663	非数字
1.663	非数字
3.234	非数字
3.234	非数字
0.242	1000000.000
0.242	1000000.000
1.248	84.921
1.248	84.921
1.111	29.216
1.111	29.216
1.728	非数字
1.728	非数字
-0.885	-1.056
-0.885	-1.056
2.665	33.693
2.665	33.693
2.338	-21.515
2.338	-21.515
11.281	1000000.000
11.281	1000000.000
1.418	非数字
1.418	非数字
1.339	17.264
1.339	17.264
2.085	-35.996
2.085	-35.996
-0.158	1000000.000
-0.158	1000000.000
-15.008	-10.240
-15.008	-10.240
-12.703	非数字
-12.703	非数字
非数字	0.888
非数字	0.888
-1.007	-20.155
-1.007	-20.155
0.699	55.310
0.699	55.310
非数字	0.015
非数字	0.015
1.602	-41.451
1.602	-41.451
5.331	19.818
5.331	19.818
-0.386	非数字
-0.386	非数字
9.571	14.275
9.571	14.275
-7.888	非数字
-7.888	非数字
2.346	非数字
2.346	非数字
